[0mroot [8] fit_s->Print([D[0m[38;5;83m[1m()
[0m
  RooFitResult: minimized FCN value: -0.000133455, estimated distance to minimum: 8.04754e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
              pdf_TTWW   -2.4615e-04 +/-  1.00e+00
                pdf_WZ    6.2901e-04 +/-  1.00e+00
                pdf_ZZ   -7.0216e-04 +/-  1.00e+00
                pdf_gg    7.6139e-05 +/-  1.00e+00
                pdf_qg   -1.8298e-05 +/-  1.00e+00
     prop_binch10_bin0    1.0363e-01 +/-  9.61e-01
     prop_binch10_bin1   -4.8480e-03 +/-  9.57e-01
     prop_binch10_bin2    4.8855e-01 +/-  9.21e-01
     prop_binch11_bin0    5.9601e-01 +/-  9.60e-01
     prop_binch11_bin1    3.0756e-01 +/-  9.75e-01
     prop_binch11_bin2   -5.6874e-01 +/-  8.75e-01
     prop_binch12_bin0    4.9586e-01 +/-  9.59e-01
     prop_binch12_bin1    2.2969e-01 +/-  9.73e-01
     prop_binch12_bin2    1.2178e-01 +/-  9.82e-01
     prop_binch13_bin0   -7.7804e-01 +/-  9.18e-01
     prop_binch13_bin1   -2.2597e-01 +/-  9.63e-01
     prop_binch13_bin2   -2.2069e-01 +/-  9.57e-01
     prop_binch14_bin0   -1.7915e-01 +/-  9.17e-01
     prop_binch14_bin1   -8.6155e-02 +/-  9.45e-01
     prop_binch14_bin2   -4.7224e-01 +/-  9.67e-01
     prop_binch15_bin0   -1.0971e-01 +/-  9.34e-01
     prop_binch15_bin1    1.2438e-02 +/-  9.46e-01
     prop_binch15_bin2   -4.8136e-03 +/-  9.49e-01
     prop_binch16_bin0   -3.2507e-01 +/-  9.17e-01
     prop_binch16_bin1   -3.8606e-01 +/-  9.54e-01
     prop_binch16_bin2    2.9148e-01 +/-  9.45e-01
     prop_binch17_bin0    3.4922e-02 +/-  9.58e-01
     prop_binch17_bin1    3.6830e-01 +/-  9.33e-01
     prop_binch17_bin2   -2.9885e-01 +/-  9.16e-01
     prop_binch18_bin0    5.8655e-01 +/-  9.59e-01
     prop_binch18_bin1    3.7817e-01 +/-  9.59e-01
     prop_binch18_bin2   -1.6037e-01 +/-  9.73e-01
     prop_binch19_bin0   -3.1765e-01 +/-  9.79e-01
     prop_binch19_bin1   -1.4980e-01 +/-  9.61e-01
     prop_binch19_bin2   -1.5022e-02 +/-  9.44e-01
      prop_binch1_bin0    2.3610e-01 +/-  9.72e-01
      prop_binch1_bin1   -1.6832e-01 +/-  9.68e-01
      prop_binch1_bin2    2.2004e-01 +/-  9.79e-01
     prop_binch20_bin0    3.7849e-01 +/-  9.32e-01
     prop_binch20_bin1   -3.3301e-01 +/-  9.55e-01
     prop_binch20_bin2   -1.2171e-01 +/-  9.61e-01
     prop_binch21_bin0   -2.2533e-01 +/-  9.43e-01
     prop_binch21_bin1   -1.1647e-01 +/-  9.19e-01
     prop_binch21_bin2   -5.0827e-03 +/-  9.62e-01
     prop_binch22_bin0   -7.3431e-01 +/-  9.68e-01
     prop_binch22_bin1   -1.8071e-01 +/-  9.64e-01
     prop_binch22_bin2    1.0145e-01 +/-  9.72e-01
     prop_binch23_bin0    3.6201e-01 +/-  9.35e-01
     prop_binch23_bin1    2.3700e-01 +/-  9.35e-01
     prop_binch23_bin2   -2.3330e-01 +/-  9.54e-01
     prop_binch24_bin0   -4.4005e-02 +/-  9.45e-01
     prop_binch24_bin1    4.4295e-02 +/-  9.56e-01
     prop_binch24_bin2    7.3075e-05 +/-  9.60e-01
     prop_binch25_bin0    1.6073e-01 +/-  9.83e-01
     prop_binch25_bin1   -4.5235e-01 +/-  9.52e-01
    prop_binch25_bin10   -2.3518e-01 +/-  1.00e+00
    prop_binch25_bin11   -9.6334e-03 +/-  9.97e-01
     prop_binch25_bin2   -2.7762e-02 +/-  9.90e-01
     prop_binch25_bin3    7.1720e-02 +/-  9.84e-01
     prop_binch25_bin4    5.2777e-02 +/-  9.86e-01
     prop_binch25_bin5    3.3678e-02 +/-  9.93e-01
     prop_binch25_bin6   -1.4550e-02 +/-  9.95e-01
     prop_binch25_bin7   -7.9238e-02 +/-  9.97e-01
     prop_binch25_bin8   -3.5865e-02 +/-  9.71e-01
     prop_binch25_bin9    7.8968e-02 +/-  9.94e-01
     prop_binch26_bin0   -8.5931e-03 +/-  9.85e-01
     prop_binch26_bin1   -1.5159e-01 +/-  9.86e-01
    prop_binch26_bin10   -1.2044e-01 +/-  9.97e-01
    prop_binch26_bin11   -3.9069e-02 +/-  9.98e-01
     prop_binch26_bin2   -6.4303e-02 +/-  9.87e-01
     prop_binch26_bin3    2.4293e-02 +/-  9.86e-01
     prop_binch26_bin4   -1.8232e-01 +/-  9.91e-01
     prop_binch26_bin5   -1.2934e-01 +/-  9.91e-01
     prop_binch26_bin6   -1.6807e-01 +/-  9.96e-01
     prop_binch26_bin7    5.5706e-03 +/-  9.92e-01
     prop_binch26_bin8    1.2741e-01 +/-  9.93e-01
     prop_binch26_bin9    9.3326e-04 +/-  9.95e-01
     prop_binch27_bin0    2.6601e-01 +/-  9.59e-01
     prop_binch27_bin1    2.0113e-01 +/-  9.00e-01
    prop_binch27_bin10   -9.1993e-02 +/-  9.99e-01
    prop_binch27_bin11   -1.1253e-01 +/-  9.99e-01
     prop_binch27_bin2   -9.1369e-02 +/-  9.85e-01
     prop_binch27_bin3    9.4998e-02 +/-  9.85e-01
     prop_binch27_bin4   -4.8183e-01 +/-  9.22e-01
     prop_binch27_bin5   -6.3848e-02 +/-  9.94e-01
     prop_binch27_bin6    3.8587e-02 +/-  9.94e-01
     prop_binch27_bin7    1.9061e-01 +/-  9.83e-01
     prop_binch27_bin8    8.6060e-02 +/-  9.94e-01
     prop_binch27_bin9   -9.2323e-02 +/-  9.97e-01
     prop_binch28_bin0   -8.1778e-02 +/-  9.85e-01
     prop_binch28_bin1   -1.9737e-01 +/-  9.85e-01
    prop_binch28_bin10    4.2650e-02 +/-  9.96e-01
    prop_binch28_bin11    8.0644e-02 +/-  9.96e-01
     prop_binch28_bin2   -1.1109e-01 +/-  9.85e-01
     prop_binch28_bin3    3.2055e-01 +/-  9.81e-01
     prop_binch28_bin4   -1.4836e-01 +/-  9.86e-01
     prop_binch28_bin5    1.5618e-01 +/-  9.83e-01
     prop_binch28_bin6   -1.1691e-01 +/-  9.90e-01
     prop_binch28_bin7   -4.3083e-02 +/-  9.95e-01
     prop_binch28_bin8   -1.9976e-02 +/-  9.92e-01
     prop_binch28_bin9   -1.2487e-01 +/-  9.97e-01
     prop_binch29_bin0    1.6754e-01 +/-  9.87e-01
     prop_binch29_bin1   -8.3839e-02 +/-  9.49e-01
    prop_binch29_bin10    7.5021e-03 +/-  9.98e-01
    prop_binch29_bin11    5.8296e-02 +/-  9.93e-01
     prop_binch29_bin2    4.7375e-01 +/-  9.81e-01
     prop_binch29_bin3    8.3724e-02 +/-  9.88e-01
     prop_binch29_bin4    2.5627e-01 +/-  9.83e-01
     prop_binch29_bin5    1.9728e-02 +/-  9.88e-01
     prop_binch29_bin6    6.4122e-02 +/-  9.92e-01
     prop_binch29_bin7    1.9286e-01 +/-  9.92e-01
     prop_binch29_bin8    1.1543e-01 +/-  9.95e-01
     prop_binch29_bin9    6.8116e-02 +/-  9.94e-01
      prop_binch2_bin0   -1.9835e-01 +/-  9.60e-01
      prop_binch2_bin1   -3.8784e-01 +/-  9.77e-01
      prop_binch2_bin2    1.0448e-02 +/-  9.63e-01
     prop_binch30_bin0   -1.2876e-01 +/-  9.88e-01
     prop_binch30_bin1   -2.4473e-02 +/-  9.89e-01
    prop_binch30_bin10   -3.3445e-02 +/-  9.99e-01
    prop_binch30_bin11   -8.2372e-02 +/-  9.98e-01
     prop_binch30_bin2   -1.4116e-01 +/-  9.90e-01
     prop_binch30_bin3   -2.0553e-02 +/-  9.89e-01
     prop_binch30_bin4    7.4776e-02 +/-  9.90e-01
     prop_binch30_bin5    4.4205e-02 +/-  9.92e-01
     prop_binch30_bin6   -4.9047e-02 +/-  9.95e-01
     prop_binch30_bin7    5.0190e-02 +/-  9.96e-01
     prop_binch30_bin8   -4.9854e-02 +/-  9.96e-01
     prop_binch30_bin9   -6.9410e-03 +/-  9.97e-01
     prop_binch31_bin0   -1.5761e-02 +/-  9.30e-01
     prop_binch31_bin1   -1.1302e-01 +/-  9.87e-01
    prop_binch31_bin10   -1.0804e-01 +/-  9.99e-01
